 "ticks" "who" "xcor" "ycor"
 21 4549 2 0
 21 4575 -8 -7
 22 4555 -9 -3
 22 4563 3 -10
 22 4545 -8 -7
 22 4554 -8 -7
 22 4550 -6 -16
 22 4561 -8 -7
 22 4542 -8 -2
 22 4553 -8 -2
 22 4551 -4 -4
 22 4571 -8 -2
 22 4575 -8 -7
 22 4552 -8 -7
 22 4574 0 -3
 22 4562 -9 -3
 22 4570 -8 -2
 22 4573 -9 -3
 22 4556 -8 -7
 22 4546 -8 -7
 22 4572 -3 -16
 22 4568 -6 -16
 22 4548 -3 -15
 22 4543 -8 -2
 22 4558 -8 -7
 22 4569 -8 -7
 22 4564 -8 -7
 22 4565 -3 -16
 22 4560 -9 -3
 22 4541 -8 -7
 22 4566 -9 -3
 22 4557 -7.03113277957402 -13.000484742469633
 22 4559 -1 -3
 22 4544 2 0
 22 4549 2 0
 22 4547 -7 -11
 22 4567 -9 -3
 23 4572 -3 -17
 23 4567 -9 -3
 23 4543 -8 -2
 23 4552 -8 -7
 23 4550 -7 -17
 23 4553 -8 -2
 23 4564 -8 -7
 23 4548 -4 -15
 23 4541 -8 -7
 23 4561 -8 -7
 23 4570 -8 -2
 23 4545 -8 -7
 23 4557 -7 -14
 23 4546 -8 -7
 23 4555 -9 -3
 23 4574 0 -3
 23 4566 -9 -3
 23 4556 -8 -7
 23 4568 -7 -17
 23 4569 -8 -7
 23 4565 -3 -17
 23 4549 2 0
 23 4551 -4 -4
 23 4542 -8 -2
 23 4560 -9 -3
 23 4547 -7 -11
 23 4559 -1 -3
 23 4571 -8 -2
 23 4558 -8 -7
 23 4544 2 0
 23 4554 -8 -7
 23 4562 -9 -3
 23 4563 3 -10
 23 4573 -9 -3
 23 4575 -8 -7
 24 4574 0 -3
 24 4566 -9 -3
 24 4543 -8 -2
 24 4572 -3 -18
 24 4551 -4 -4
 24 4547 -7 -11
 24 4550 -7 -17
 24 4544 2 0
 24 4554 -8 -7
 24 4565 -3 -18
 24 4571 -8 -2
 24 4546 -8 -7
 24 4559 -1 -3
 24 4568 -7 -17
 24 4561 -8 -7
 24 4545 -8 -7
 24 4542 -8 -2
 24 4556 -8 -7
 24 4562 -9 -3
 24 4555 -9 -3
 24 4549 2 0
 24 4567 -9 -3
 24 4564 -8 -7
 24 4563 3 -10
 24 4553 -8 -2
 24 4575 -8 -7
 24 4573 -9 -3
 24 4570 -8 -2
 24 4541 -8 -7
 24 4548 -5 -15
 24 4569 -8 -7
 24 4560 -9 -3
 24 4557 -7 -14
 24 4552 -8 -7
 24 4558 -8 -7
 25 4570 -8 -2
 25 4571 -8 -2
 25 4549 2 0
 25 4565 -4 -19
 25 4555 -9 -3
 25 4542 -8 -2
 25 4543 -8 -2
 25 4546 -8 -7
 25 4548 -6 -16
 25 4552 -8 -7
 25 4545 -8 -7
 25 4575 -8 -7
 25 4547 -7 -11
 25 4563 3 -10
 25 4569 -8 -7
 25 4573 -9 -3
 25 4561 -8 -7
 25 4551 -4 -4
 25 4558 -8 -7
 25 4559 -1 -3
 25 4567 -9 -3
 25 4550 -7 -17
 25 4564 -8 -7
 25 4568 -7 -17
 25 4560 -9 -3
 25 4554 -8 -7
 25 4566 -9 -3
 25 4572 -4 -19
 25 4556 -8 -7
 25 4574 0 -3
 25 4553 -8 -2
 25 4557 -7 -14
 25 4541 -8 -7
 25 4562 -9 -3
 25 4544 2 0
 26 4545 -8 -7
 26 4571 -8 -2
 26 4567 -9 -3
 26 4547 -7 -11
 26 4573 -9 -3
 26 4546 -8 -7
 26 4575 -8 -7
 26 4566 -9 -3
 26 4553 -8 -2
 26 4563 3 -10
 26 4572 -5 -19
 26 4541 -8 -7
 26 4559 -1 -3
 26 4544 2 0
 26 4556 -8 -7
 26 4555 -9 -3
 26 4562 -9 -3
 26 4574 0 -3
 26 4560 -9 -3
 26 4554 -8 -7
 26 4569 -8 -7
 26 4552 -8 -7
 26 4542 -8 -2
 26 4551 -4 -4
 26 4565 -5 -19
 26 4570 -8 -2
 26 4550 -7 -17
 26 4561 -8 -7
 26 4549 2 0
 26 4543 -8 -2
 26 4558 -8 -7
 26 4548 -7 -17
 26 4568 -7 -17
 26 4564 -8 -7
 26 4557 -7 -14
 27 4559 -1 -3
 27 4551 -4 -4
 27 4545 -8 -7
 27 4557 -7 -14
 27 4544 2 0
 27 4575 -8 -7
 27 4552 -8 -7
 27 4571 -8 -2
 27 4554 -8 -7
 27 4574 0 -3
 27 4573 -9 -3
 27 4569 -8 -7
 27 4560 -9 -3
 27 4572 -6 -19
 27 4549 2 0
 27 4543 -8 -2
 27 4547 -6.305864882739625 -11.71984473255413
 27 4546 -8 -7
 27 4550 -7 -17
 27 4553 -8 -2
 27 4566 -9 -3
 27 4570 -8 -2
 27 4564 -8 -7
 27 4565 -6 -19
 27 4561 -8 -7
 27 4567 -9 -3
 27 4556 -8 -7
 27 4563 3 -10
 27 4541 -8 -7
 27 4542 -8 -2
 27 4555 -9 -3
 27 4568 -7 -17
 27 4562 -9 -3
 27 4548 -7 -17
 27 4558 -8 -7
 28 4561 -8 -7
 28 4568 -7 -17
 28 4551 -4 -4
 28 4566 -9 -3
 28 4558 -8 -7
 28 4550 -7 -17
 28 4569 -8 -7
 28 4542 -8 -2
 28 4565 -5 -20
 28 4572 -7 -20
 28 4573 -9 -3
 28 4571 -8 -2
 28 4575 -8 -7
 28 4553 -8 -2
 28 4560 -9 -3
 28 4541 -8 -7
 28 4549 2 0
 28 4557 -7 -14
 28 4543 -8 -2
 28 4556 -8 -7
 28 4559 -1 -3
 28 4563 3 -10
 28 4567 -9 -3
